一鳴路,Yat Ming Road,粉嶺,Fanling
丁貴坊街,Ting Kwai Fong Street,坪洲,Peng Chau
丁香徑,Lilac Path,元朗,Yuen Long
丁香街,Lilac Street,深水埗,Sham Shui Po
七姊妹道,Tsat Tsz Mui Road,北角,North Point
七寶街,Tsat Po Street,新蒲崗,San Po Kong
三和路,Sam Wo Road,流浮山,Lau Fau Shan
三多里,Sam To Lane,西營盤,Sai Ying Pun
三家里,Sam Ka Lane,上環,Sheung Wan
三板街,Sam Pan Street,灣仔,Wan Chai
三棟屋路,Sam Tung Uk Road,荃灣,Tsuen Wan
三祝街,Sam Chuk Street,新蒲崗,San Po Kong
三聖街,Sam Shing Street,屯門,Tuen Mun
三角街,Triangle Street,灣仔,Wan Chai
三門仔路,Sam Mun Tsai Road,大埔,Tai Po
三陂坊,Sam Pei Square,荃灣,Tsuen Wan
上亞厘畢道,Upper Albert Road,中環,Central
上元街,Sheung Yuen Street,鑽石山,Diamond Hill
上圍里,Sheung Wai Lane,西貢,Sai Kung
上水東慶路,Sheung Shui Tung Hing Road,上水,Sheung Shui
上海街,Shanghai Street,油麻地、旺角、尖沙咀,"Yau Ma Tei, Mong Kok, Tsim Sha Tsui"
上禾輋路,Sheung Wo Che Road,沙田,Sha Tin
上葵涌村路,Sheung Kwai Chung Tsuen Road,葵涌,Kwai Chung
上角山路,Sheung Kok Shan Road,荃灣、葵涌,"Tsuen Wan, Kwai Chung"
上角街,Sheung Kok Street,葵涌,Kwai Chung
上鄉道,Sheung Heung Road,土瓜灣,To Kwa Wan
上高灘街,Sheung Ko Tan Street,青衣,Tsing Yi
下亞厘畢道,Lower Albert Road,中環,Central
下城門道,Lower Shing Mun Road,大圍,Tai Wai
下新圍路,Ha San Wai Road,潭尾,Tam Mei
下洋新村路,Ha Yeung San Tsuen Road,清水灣,Clear Water Bay
下洋路,Ha Yeung Road,清水灣,Clear Water Bay
下灣村東路,Ha Wan Tsuen East Road,新田,San Tin
下灣村路,Ha Wan Tsuen Road,新田,San Tin
下竹園路,Ha Chuk Yuen Road,潭尾、新田,"Tam Mei, San Tin"
下鄉道,Ha Heung Road,土瓜灣,To Kwa Wan
